id,object_type,rights_statement,title,handle_link,format,archival_collection,notes,railroad,map_type,creator,publisher,region,waterway,states,regions,counties,cities,extent,display_date,start_date,path,files
G3880 1590.W4,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,"America pars, Virginia dicta",http://hdl.handle.net/1903.1/12530,http://vocab.lib.umd.edu/form#maps,,First map to show and name the Chesapeake Bay. OCLC #5483495,,Historical maps,,"White, John and de Bry, Theodor",,Chesapeake Bay,Virginia,,,,1 sheet,1590,1590,america-pars-virginia,
MD/VA 002,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,Captain John Smith's Map of Virginia,,http://vocab.lib.umd.edu/form#maps,,Reproduction from the original at the Library of Congress.,,Historical maps,,"Smith, John",,,Maryland and Virginia,,,,1 sheet,1612,1612,captain-john-smith39s,maryland-maps/maps/2008/12/mdva002d-1.jpg/mdva002d-1_original.jpg
MD/VA 040,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,Virginia,,http://vocab.lib.umd.edu/form#maps,,,,Historical maps,,"Bry, Theodor de",,,Maryland and Virginia,,,,1 sheet,1628,1628,virginia,maryland-maps/maps/2008/12/mdva40.jpg/mdva40_original.jpg
G3880 1635.N68,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,"Nova Virginiae Tabula, 1635",http://hdl.handle.net/1903.1/12551,http://vocab.lib.umd.edu/form#maps,,SPECIAL PERMISSION USE ONLY,,historical maps,,"Blaeu, William Jans Zoon",,Chesapeake Bay,Virginia,,,,1 sheet,1635,1635,nova-virginiae-tabula,maryland-maps/maps/1635/01/g3880_1635.n68.jpg/g3880_1635.n68_original.jpg
G3880 1636.H65,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,"Nova Virginiae Tabula, 1636",http://hdl.handle.net/1903.1/12552,http://vocab.lib.umd.edu/form#maps,,SPECIAL PERMISSION USE ONLY,,historical maps,,"Hondius, Henry",,Chesapeake Bay,Virginia,,,,1 sheet,1636,1636,nova-virginiae-tabula002,maryland-maps/maps/1636/01/g3880_1636.h65.jpg/g3880_1636.h65_original.jpg
xG3842.M6 1646 .D83,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,Carta particolare della Virginia vecchia e Nuoua,,http://vocab.lib.umd.edu/form#maps,,,,Historic Map,,"Dudley, Robert",,Chesapeake Bay,,,,,1 sheet,1646/1661,1646,carta-particolare-della,maryland-maps/maps/1646/01/g3842.m6_1646.d83.jpg/g3842.m6_1646.d83_original.jpg
AN 004,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,"Settled in 1649, the City and Port of Annapolis Became the Capital of Maryland in 1695",,http://vocab.lib.umd.edu/form#maps,,Two copies: one color and one black and white.,,Historical maps,,"Sturges, Rosalind Howe",,,,,,Annapolis,1 sheet,1649,1649,settled-in-1649-the-city,
Maryland Microfiche G3840.L53 [142],http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,Land Ownership Maps of Maryland.,,http://vocab.lib.umd.edu/form#maps,,"Microfiche. Includes 33 maps, primarily of counties, showing individual land owners in the nineteenth century. Reproduced from originals at the Library of Congress.",,Historical maps,,Library of Congress. Geography and Map Division.,,,Maryland,,,,33 sheets,1650/1875,1650,land-ownership-maps-of,
MD 132,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,Historical Maps of Maryland.,,http://vocab.lib.umd.edu/form#maps,,"For a full description of the historical maps reprinted in this collection, see MD G1270.P3 1983 Folio. Date of maps: 1801, 1651, 1671, 1678, 1752, 1852.",,Historical maps,,"Papenfuse, Edward.",,,Maryland,,,,7 sheets,1651/1852,1651,historical-maps-of-maryland.,maryland-maps/maps/2008/12/md132d.jpg/md132d_original.jpg
MD/VA 036,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,"A Mapp of Virginia Discovered to ye Hills, and in its Latt",,http://vocab.lib.umd.edu/form#maps,,A facsimile published by the John Carter Brown Library in 1984.,,Historical maps,,"Goddard, John",,,Maryland and Virginia,,,,1 sheet,1651,1651,a-mapp-of-virginia-discovered,
MD 127,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,"Novi Belgii, Noveque Angliae, nec non partis Virginiae Tabula.",,http://vocab.lib.umd.edu/form#maps,,"This copy is a reprint from the report of the Mason and Dixon Line Resurvey Commission, MD F187.B7M3 (plate LXXV).",,Historical maps,,"Visscher, N.J.",,,Maryland,,,,1 sheet,1659,1659,novi-belgii-noveque-angliae,maryland-maps/maps/2008/12/md127d.jpg/md127d_original.jpg
G3842.C5 1671.N68,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,Nova-terrae-Maria tabulae.,http://hdl.handle.net/1903.1/12532,http://vocab.lib.umd.edu/form#maps,,SPECIAL PERMISSION USE ONLY,,historical maps,,"Herman, Augustin.",,Chesapeake Bay,Maryland,,,,1 sheet,1671~,1671 (circa),nova-terrae-maria-tabulae.,
MD/VA 004,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,"Virginia and Maryland, as it is Planted and Inhabitied this Present Year 1670",,http://vocab.lib.umd.edu/form#maps,,"A reproduction of the original map, printed in 1948. For another fascimile of this map see MD/VA 33.",,Historical maps,,"Herman, Augustin.",,,Maryland and Virginia,,,,1 sheet,1673,1673,virginia-and-maryland,
MD/VA 033,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,"Virginia and Maryland, as it is Planted and Inhabited this Present Year 1670",,http://vocab.lib.umd.edu/form#maps,,"Facsimile published by the John Carter Brown Library in 1967. For another facsimile of this map, see MD/VA 4.",,Historical maps,,"Bohemiensis, Augustin Herman",,,Maryland and Virginia,,,,1 sheet,1673,1673,virginia-and-maryland002,maryland-maps/maps/2008/12/mdva133d-1.jpg/mdva133d-1_original.jpg
MD/VA 008,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,Speed's Map of Virginia and Maryland,,http://vocab.lib.umd.edu/form#maps,,"Reproduction copy originally bound with Maryland G3880.1676.S61. For original copy, see MD/VA 20.",,Historical maps,,"Lamb, Francis",,,Maryland and Virginia,,,,1 sheet,1676,1676,speed39s-map-of-virginia,
MD/VA 034,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,A Manuscript Map of Maryland.,,http://vocab.lib.umd.edu/form#maps,,Facsimile published by the John Carter Brown Library in 1978.,,Historical maps,,"Blathwayt, William.",,,Maryland and Virginia,,,,1 sheet,1677~,1677 (circa),a-manuscript-map-of-maryland.,maryland-maps/maps/1677/01/md.va034.jpg/md.va034_original.jpg
MD/VA 029,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,"A New Map of New England, New York, New Jersey, Pennsylvania, Maryland and Virginia",,http://vocab.lib.umd.edu/form#maps,,,,Historical maps,,"Morden, Robert",,,Maryland and Virginia,,,,1 sheet,1685,1685,a-new-map-of-new-england,maryland-maps/maps/2008/12/mdva29d.jpg/mdva29d_original.jpg
MD/VA 017,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,A New Map of Virginia; a Description of Virginia and Maryland,,http://vocab.lib.umd.edu/form#maps,,,,Historical maps,,"Morden, Robert",,,Maryland and Virginia,,,,1 sheet,1688,1688,a-new-map-of-virginia,
PG 068,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,Prince George's County as erected in 1696,,http://vocab.lib.umd.edu/form#maps,,Originally bound with: MD F187.P9H53.,,Historical maps,,"Heinton, Louise Joyner",,,,,Prince George's County,,1 sheet,1696/1959,1696,prince-george39s-county,
MD/VA 035,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,"A Mapp of Virginia, Maryland, New Jersey, New York and New England",,http://vocab.lib.umd.edu/form#maps,,This is a facsimile published by the John Carter Brown Library in 1984.,,Historical maps,,"Thornton, John",,,Maryland and Virginia,,,,1 sheet,1700~,1700 (circa),a-mapp-of-virginia-maryland,
MAS 025,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,New Chart of the English Empire in North America,,http://vocab.lib.umd.edu/form#maps,,"This copy is a reprint by the John Carter Brown Library, 1984.",,Historical maps,,"Southack, Cyprian",,,Mid-Atlantic,,,,1 sheet,1717,1717,new-chart-of-the-english,
G3880 1721.S45 MAP 0360,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,"A New Map of Virginia, Maryland and the Improved Parts of Pennsylvania and New Jersey.",http://hdl.handle.net/1903.1/12553,http://vocab.lib.umd.edu/form#maps,,SPECIAL PERMISSION USE ONLY.,,historical maps,,"Senex, John.",,Chesapeake Bay,Maryland,,,,1 sheet,1719,1719,a-new-map-of-virginia,maryland-maps/maps/1719/01/g3880_1721.s45.jpg/g3880_1721.s45_original.jpg
MAS 019,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,"Karte von der Bay Chesepaeck und den benachbarten landen, zur Allegemeinen historie der resen aus den besten Englaendischen karten . . .",,http://vocab.lib.umd.edu/form#maps,,,,Historical maps,,,,,Mid-Atlantic,,,,1 sheet,1721~,1721 (circa),karte-von-der-bay-chesepaeck,
MD/VA 043,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,"Virginie, Grande Region de l'Amerique Septentrionale",http://hdl.handle.net/1903.1/12527,http://vocab.lib.umd.edu/form#maps,,,,Historical maps,,"Aa, Pierre van der",,,Maryland and Virginia,,,,1 sheet,1729,1729,virginie-grande-region,maryland-maps/maps/1729/01/mdva-043.jpg/mdva-043_original.jpg
MD/VA 007,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,"Virginia and Maryland, 1732 (circa)",,http://vocab.lib.umd.edu/form#maps,,,,Historical maps,,"Moll, H",,,Maryland and Virginia,,,,1 sheet,1732~,1732 (circa),virginia-and-maryland003,maryland-maps/maps/2008/12/mdva007.jpg/mdva007_original.jpg
ES 037,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,"Map of Part of the Province of Pennsylvania and the Counties of Newcastle, Kent and Sussex on Delaware",,http://vocab.lib.umd.edu/form#maps,,"Resurvey of Mason-Dixon line, showing the temporary limits of the jurisdictions of Maryland and Pennsylvania. Dated 25 May 1738, surveyed in 1739; Year: No Date for reprint, Original 1739",,Historical Map,,His Majesty's Council,,,Maryland and Pennsylvania,,,,1 sheet,1738/1739,1738,map-of-part-of-the-province,
AN 001,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,"A Ground-plot of the City and Port of Annapolis, May 14, 1743",,http://vocab.lib.umd.edu/form#maps,,1955 Facsimile reprint of the original map.,,Historical maps,,"Stoddert, James",,,,,,Annapolis,1 sheet,1743,1743,a-ground-plot-of-the-city,
MD/VA 016,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,Virginia und Maryland,,http://vocab.lib.umd.edu/form#maps,,See also MD/VA 001 and Homann's atlas (Maryland Rare G1015.H65 1751 Oversize),,Historical maps,,Homann,,,Maryland and Virginia,,,,1 sheet,1749,1749,virginia-und-maryland,
MAS 029,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/UND/1.0/,Dominia Anglorum in America sepentrionali . . .,,http://vocab.lib.umd.edu/form#maps,,,,Historical maps,,Homann's heirs,,,Mid-Atlantic,,,,2 sheets,1750~,1750 (circa),dominia-anglorum-in-america,
